family,genus,species
Aizoaceae,Fenestraria,Fenestraria aurantiaca
Aizoaceae,Pleiospilos,nelii
Asphodelaceae,Aloe,marlothii
Asphodelaceae,Gasteria,Gasteria gracilis
Asphodelaceae,Gasteria,Gasteria pillansii
Asphodelaceae,Haworthia,Haworthia coarctata f. chalwinii
Asphodelaceae,Haworthia,Haworthia cooperi var. truncata
Asphodelaceae,Haworthia,Haworthia cuspidata variegata
Asphodelaceae,Haworthia,Haworthia cymbiformis
Asphodelaceae,Haworthia,Haworthia emelyae var. comptoniana
Asphodelaceae,Haworthia,Haworthia truncata var. maughanii
Asphodelaceae,Haworthia,truncata
Asphodelaceae,Haworthiopsis,limifolia
Asteraceae,Senecio,articulatus
Asteraceae,Senecio,haworthii
Asteraceae,Senecio,Serpens
Crassulaceae,Cotyledon,Cotyledon ladismithiensis
Crassulaceae,Cotyledon,Cotyledon tomentosa
Crassulaceae,Crassula,Crassula dejecta
Crassulaceae,Crassula,Crassula muscosa
Crassulaceae,Dudleya,Dudleya gnoma
Crassulaceae,Echeveria,derenbergii
Crassulaceae,Echeveria,Echeveria chihuahuaensis
Crassulaceae,Echeveria,Echeveria lilacina
Crassulaceae,Echeveria,Echeveria purpusorum
Crassulaceae,Echeveria,mebina
Crassulaceae,Kalanchoe,eriophylla
Crassulaceae,Kalanchoe,Kalanchoe beharensis
Crassulaceae,Kalanchoe,Kalanchoe marmorata
Crassulaceae,Kalanchoe,Kalanchoe marnieriana
Crassulaceae,Kalanchoe,sexangularis
Crassulaceae,Kalanchoe,tomentosa
Crassulaceae,Pachyphytum,Pachyphytum compactum
Crassulaceae,Pachyphytum,Pachyphytum oviferum
Crassulaceae,Sedum,adolphii variegata
Crassulaceae,Sedum,corynephyllum
Crassulaceae,Sedum,sediforme
Crassulaceae,Sedum,Sedum pachyphyllum
Crassulaceae,Sedum,Sedum rubrotinctum
Cucurbitaceae,Ibervillea,Ibervillea sonorae
Dioscoreaceae,Dioscorea,elephantipes
Euphorbiaceae,Euphorbia,Euphorbia lactea f. cristata
Euphorbiaceae,Euphorbia,obesa
Xanthorrhoeaceae,Aloe,Aloe perfoliata
